"Case ID";"Throughput time"
"505451067070000050";"153"
"505450051855400060";"8"
"505453003141000010";""
"505451066635100100";"27"
"505451069035200010";"5"
"505451067172900060";"181"
"505451067980600160";"5"
"505451069319300030";"0"
"505451066667400010";"83"
"505451067980900110";"5"
"505451066158100010";"43"
"505451068544700050";"7"
"505450052117000010";"14"
"505450051729200030";"4"
"505451069319300010";"0"
"505453003353100040";"0"
"505451068629100010";"70"
"505451067134100040";"175"
"505451068507900010";"0"
"505451067220400010";"176"
"505451069099900010";"0"
"505450051314000010";"151"
"505450051797600010";"19"
"505451069223000010";"0"
"505451068969600010";"7"
"505451067134100030";"175"
"505451067979600160";"9"
"505451066282800010";"138"
"505451067903400020";"105"
"505451067900500040";"10"
"505451069366500040";"5"
"505450051855400010";"8"
"505451066487000010";""
"505451069116400010";"3"
"505451067877000050";"1"
"505451067980900200";"111"
"505451066527700060";"27"
"505453003221700010";"123"
"505450051161100030";"151"
"505450052120000020";"24"
"505453003130900030";"23"
